test,standard,from,to,score
Back Squat -  1 Rep Max,1,118.207,116.031,710
Back Squat -  1 Rep Max,1,120.384,118.208,720
Back Squat -  1 Rep Max,1,122.562,120.385,730
Back Squat -  1 Rep Max,1,124.739,122.563,740
Back Squat -  1 Rep Max,1,127.461,124.74,750
Back Squat -  1 Rep Max,1,130.182,127.462,760
Back Squat -  1 Rep Max,1,132.904,130.183,770
Back Squat -  1 Rep Max,1,135.625,132.905,780
Back Squat -  1 Rep Max,1,138.347,135.626,790
Back Squat -  1 Rep Max,1,141.069,138.348,800
Back Squat -  1 Rep Max,1,143.79,141.07,810
Back Squat -  1 Rep Max,1,146.512,143.791,820
Back Squat -  1 Rep Max,1,149.233,146.513,830
Back Squat -  1 Rep Max,1,151.955,149.234,840
Back Squat -  1 Rep Max,1,154.677,151.956,850
Back Squat -  1 Rep Max,1,157.398,154.678,860
Back Squat -  1 Rep Max,1,160.12,157.399,870
Back Squat -  1 Rep Max,1,162.841,160.121,880
Back Squat -  1 Rep Max,1,165.563,162.842,890
Back Squat -  1 Rep Max,1,173.728,165.564,900
Back Squat -  1 Rep Max,1,181.893,173.729,910
Back Squat -  1 Rep Max,1,190.057,181.894,920
Back Squat -  1 Rep Max,1,198.222,190.058,930
Back Squat -  1 Rep Max,1,206.387,198.223,940
Back Squat -  1 Rep Max,1,219.088,206.388,950
Back Squat -  1 Rep Max,1,231.789,219.089,960
Back Squat -  1 Rep Max,1,244.489,231.79,970
Back Squat -  1 Rep Max,1,257.19,244.49,980
Back Squat -  1 Rep Max,1,269.891,257.191,990
Back Squat -  1 Rep Max,1,400,269.892,1000
