Age,Distance,Season,Split,Watts
3.0,32.0,2016.0,69.61,0.42
10.0,191.0,2016.0,77.52,90.32
12.0,207.0,2016.0,79.16,114.97
14.0,218.0,2016.0,80.43,134.31
15.0,227.0,2016.0,81.3,151.62
16.0,234.0,2016.0,81.97,166.07
18.0,239.0,2016.0,82.87,176.98
21.0,243.0,2017.0,83.33,185.99
24.0,247.0,2017.0,84.03,195.33000000000004
26.0,251.0,2017.0,84.51,205.0
27.0,253.0,2017.0,84.99,209.91
28.0,256.0,2017.0,85.47,217.46999999999997
29.0,258.0,2017.0,85.96,222.61
30.0,261.0,2017.0,86.46,230.49
31.0,263.0,2017.0,86.71,235.81
31.0,265.0,2017.0,87.21,241.22000000000003
32.0,266.0,2018.0,87.46,243.99
33.0,268.0,2018.0,87.98,249.52
33.0,270.0,2018.0,88.24,255.16
34.0,272.0,2018.0,88.5,260.89
34.0,274.0,2018.0,88.76,266.65
34.0,275.0,2018.0,89.02,269.6
35.0,277.0,2018.0,89.29,275.54
35.0,278.0,2018.0,89.55,278.54
36.0,280.0,2018.0,89.82,284.59
36.0,281.0,2018.0,90.09,287.64
37.0,283.0,2018.0,90.36,293.78
37.0,284.0,2018.0,90.63,296.97
38.0,286.0,2018.0,90.91,303.2099999999999
38.0,287.0,2019.0,91.19,306.44
38.0,288.0,2019.0,91.46000000000001,309.63
39.0,290.0,2019.0,91.74,316.14
39.0,291.0,2019.0,92.02,319.46
39.0,292.0,2019.0,92.31,322.74
40.0,293.0,2019.0,92.59,326.06000000000006
40.0,294.0,2019.0,92.88,329.43
41.0,295.0,2019.0,93.17,332.84
41.0,296.0,2019.0,93.46,336.2
41.0,298.0,2019.0,93.75,343.06
42.0,299.0,2019.0,94.04,346.56
42.0,300.0,2019.0,94.34,350.0
42.0,301.0,2019.0,94.64,353.49
42.0,302.0,2019.0,94.94,357.02
43.0,303.0,2019.0,95.24,360.6
43.0,303.0,2020.0,95.54,360.6
43.0,304.0500000000002,2020.0,95.54,364.40850000000063
44.0,305.0,2020.0,95.85,367.8
44.0,306.0,2020.0,96.15,371.41
45.0,307.0,2020.0,96.46,375.07
45.0,308.0,2020.0,96.77,378.78
45.0,309.0,2020.0,97.09,382.42
46.0,310.0,2020.0,97.4,386.23
46.0,311.0,2020.0,97.72,389.97
46.0,312.0,2020.0,98.04,393.75
47.0,313.0,2020.0,98.35999999999999,397.46000000000004
47.0,314.0,2020.0,98.66400000000024,401.34
47.0,314.0,2020.0,99.01,401.34
48.0,315.0,2020.0,99.01,405.14
48.0,316.0,2020.0,99.34,409.0
48.0,317.0,2020.0,99.67,412.9
49.0,318.0,2020.0,100.0,416.85
49.0,319.0,2021.0,100.33,420.85
49.0,320.0,2021.0,100.67,424.77
50.0,321.0,2021.0,101.35,428.74
50.0,322.0,2021.0,101.69,432.75
50.0,323.0,2021.0,102.04,436.82
51.0,324.0,2021.0,102.39000000000001,440.93999999999994
51.0,325.0,2021.0,102.74,444.96
51.0,326.0,2021.0,103.09,449.18
52.0,327.0,2021.0,103.45,453.31
52.0,328.0,2021.0,104.17,457.48
52.0,329.0,2021.0,104.53,461.56000000000006
53.0,330.0,2021.0,104.9,465.84
53.0,331.0,2021.0,105.63,470.17
54.0,332.0,2021.0,106.01,474.39
54.0,333.0,2021.0,106.76,478.67
55.0,334.0,2021.0,107.13999999999999,483.0
55.0,335.0,2021.0,107.91,487.38
55.0,336.0,2021.0,108.29999999999998,491.65
56.0,337.0,2021.0,109.09,496.14
56.0,338.0,2021.0,109.49,500.51
57.0,339.0,2021.0,110.29,504.94000000000005
58.0,340.0,2021.0,111.11000000000001,509.41
58.0,341.0,2021.0,111.94,513.94
59.0,343.0,2021.0,112.78,523.17
60.0,344.0,2021.0,113.20999999999998,527.68
60.0,346.0,2021.0,114.07,536.86
60.0,347.0,2021.0,114.94,541.53
61.0,349.0,2021.0,116.28,551.03
62.0,351.0,2021.0,117.19,560.57
63.0,353.0,2021.0,118.58,570.12
63.0,355.0,2021.0,119.52000000000001,579.89
64.0,357.0,2021.0,121.45999999999998,589.88
66.0,360.0,2021.0,123.46,604.87
67.0,362.0,2021.0,125.52,615.0
69.0,366.0,2021.0,128.21,635.48
70.0,369.0,2021.0,132.16,651.32
72.0,373.0,2021.0,137.61,672.69
74.0,379.0,2021.0,144.93,705.59
79.0,387.0,2021.0,157.07,751.3200000000002
116.0,431.0,2021.0,937.5,1037.66
