Age,Season,Seconds,Split,Watts
0.0,2002.0,153.5,76.75,0.0
10.0,2004.0,179.4,89.7,29.577799999999996
11.0,2005.0,183.9,91.95,49.49
12.0,2008.0,186.9,93.45,63.22
12.0,2009.0,189.1,94.55,72.5492
13.0,2009.0,190.9,95.45,80.0
13.0,2010.0,192.8,96.4,87.48
13.0,2010.0,194.3,97.15,93.53
14.0,2011.0,195.6,97.8,98.49
14.0,2012.0,197.0,98.5,103.6
14.0,2012.0,198.1,99.05,107.75
14.0,2013.0,199.2,99.6,111.4619
15.0,2013.0,200.3,100.15,115.04
15.0,2013.0,201.4,100.7,118.44
16.0,2014.0,202.5,101.25,121.98000000000002
16.0,2014.0,203.6,101.8,125.26
17.0,2014.0,204.6,102.3,128.51
17.0,2015.0,205.6,102.8,131.74
18.0,2015.0,206.5,103.25,134.78
19.0,2015.0,207.4,103.7,137.62
19.0,2016.0,208.2,104.1,140.69
20.0,2016.0,209.0,104.5,143.69
21.0,2016.0,209.9,104.95,146.44
22.0,2016.0,210.7,105.35,149.27000000000004
23.0,2016.0,211.7,105.85,152.18
24.0,2016.0,212.6,106.3,154.98
25.0,2016.0,213.5,106.75,157.85
26.0,2016.0,214.4,107.2,160.6
27.0,2016.0,215.3,107.65,163.23
28.0,2017.0,216.1,108.05,166.11
28.0,2017.0,216.89999999999998,108.44999999999999,168.86
29.0,2017.0,217.7,108.85,171.27
30.0,2017.0,218.5,109.25,173.93
31.0,2017.0,219.28700000000026,109.64350000000013,176.64
31.0,2017.0,220.0,110.0,179.42000000000002
32.0,2017.0,220.90000000000003,110.45000000000002,181.81
32.0,2017.0,221.7,110.85,184.46
33.0,2017.0,222.6,111.3,187.17
34.0,2017.0,223.4,111.7,189.7
34.0,2017.0,224.2,112.1,192.26999999999998
35.0,2017.0,225.09999999999997,112.54999999999998,195.14
35.0,2018.0,225.9,112.95,198.06
36.0,2018.0,226.7,113.35,201.03
36.0,2018.0,227.59999999999997,113.79999999999998,203.56
37.0,2018.0,228.416,114.208,205.87
37.0,2018.0,229.3,114.65,207.96
38.0,2018.0,230.1,115.05,210.34
38.0,2018.0,230.90000000000003,115.45000000000002,212.75
39.0,2018.0,231.8,115.9,214.93
39.0,2018.0,232.7,116.35,217.41
39.0,2018.0,233.5,116.75,219.94
40.0,2018.0,234.4,117.2,222.21
40.0,2018.0,235.3,117.65,224.81
41.0,2018.0,236.09999999999997,118.04999999999998,227.45
41.0,2018.0,237.0,118.5,229.83
42.0,2019.0,237.9,118.95,232.24
42.0,2019.0,238.7,119.35,234.95040000000117
43.0,2019.0,239.6,119.8,237.49
43.0,2019.0,240.6,120.3,240.32999999999998
44.0,2019.0,241.8,120.9,242.89
44.0,2019.0,243.0,121.5,245.49
44.0,2019.0,244.2,122.1,248.46
45.0,2019.0,245.3,122.65,251.14
45.0,2019.0,246.40000000000003,123.20000000000002,253.84999999999997
46.0,2019.0,247.6,123.8,256.96
46.0,2019.0,248.8,124.4,259.76
47.0,2019.0,249.9,124.95,262.96
47.0,2019.0,251.2,125.6,265.5368000000017
48.0,2019.0,252.5,126.25,268.41
48.0,2019.0,253.8,126.9,271.38
48.0,2020.0,255.0,127.5,274.4
49.0,2020.0,256.4,128.2,277.46
49.0,2020.0,257.9,128.95,280.56
50.0,2020.0,259.3,129.65,284.11
50.0,2020.0,260.8,130.4,287.72
51.0,2020.0,262.4,131.2,291.39
51.0,2020.0,264.0,132.0,295.12
52.0,2020.0,265.7,132.85,299.34
52.0,2020.0,267.4,133.7,302.78
53.0,2020.0,269.1,134.55,306.7
53.0,2020.0,271.0,135.5,310.25
54.0,2020.0,273.0,136.5,313.86
54.0,2020.0,274.9,137.45,317.98
55.0,2020.0,277.0,138.5,322.17
56.0,2020.0,279.3,139.65,326.92
56.0,2020.0,281.7,140.85,331.76
57.0,2020.0,284.2,142.1,337.2
58.0,2020.0,287.0,143.5,342.75
58.0,2020.0,289.8,144.9,348.43
59.0,2021.0,292.87099999999987,146.43549999999993,354.23
60.0,2021.0,296.2,148.1,360.17
61.0,2021.0,300.1,150.05,366.23
62.0,2021.0,305.2,152.6,374.15
63.0,2021.0,310.5,155.25,381.72
64.0,2021.0,317.5,158.75,390.69
66.0,2021.0,327.1,163.55,402.48
67.0,2021.0,337.9439999999995,168.97199999999975,414.08
70.0,2021.0,353.8,176.9,428.87
72.0,2021.0,383.9,191.95,450.21
75.0,2021.0,455.7610000000001,227.88050000000004,484.94000000000005
116.0,2021.0,18244.0,9122.0,774.16
