Age,Season,Seconds,Split,Watts
10.0,2006.0,8481.0,100.5,8.02
16.0,2007.0,9335.0,110.62,38.138
18.0,2008.0,9518.0,112.78999999999999,48.65
19.0,2009.0,9640.0,114.23,54.55
20.680000000000007,2009.0,9762.0,115.68,59.98
22.0,2010.0,9823.0,116.4,63.74
24.0,2010.0,9884.0,117.12,68.69
25.0,2010.0,9945.0,117.85,72.28
26.0,2011.0,10067.0,119.28999999999999,74.17
27.0,2011.0,10067.0,119.28999999999999,77.13
28.0,2011.0,10128.0,120.01000000000002,80.23
29.0,2012.0,10189.0,120.73999999999998,82.4
29.0,2012.0,10189.0,120.74,83.51
30.0,2012.0,10250.0,121.45999999999998,85.8
30.0,2012.0,10311.0,122.18,88.16
31.0,2013.0,10372.0,122.91,89.4
31.0,2013.0,10372.0,122.91,91.89
32.0,2013.0,10433.0,123.63,93.19
32.0,2014.0,10494.0,124.35,94.5
33.0,2014.0,10494.0,124.35,95.83
33.0,2014.0,10555.0,125.07,97.75000000000013
34.0,2015.0,10616.0,125.8,100.0
34.0,2015.0,10616.0,125.8,101.44
34.0,2015.0,10677.0,126.52,102.9
35.0,2015.0,10677.0,126.52,104.41
35.0,2016.0,10738.0,127.24,105.93
35.0,2016.0,10738.0,127.24,105.93
36.0,2016.0,10738.0,127.23999999999998,107.48
36.0,2016.0,10799.0,127.97,109.09
36.0,2016.0,10799.0,127.97,109.09
37.0,2016.0,10799.0,127.97,110.70000000000002
37.0,2017.0,10800.0,127.98,112.35
38.0,2017.0,10861.0,128.7,114.03
38.0,2017.0,10922.0,129.42,114.03
38.0,2017.0,10983.0,130.15,115.75999999999999
39.0,2017.0,10983.0,130.15,117.51
39.0,2017.0,11044.0,130.87,117.51
39.0,2017.0,11105.0,131.59,119.29000000000002
40.0,2018.0,11105.0,131.59,121.13
40.0,2018.0,11166.0,132.31,122.98999999999998
40.0,2018.0,11166.0,132.31,122.99
40.2199999999998,2018.0,11227.0,133.04,124.88
41.0,2018.0,11288.0,133.76,126.82
41.0,2018.0,11288.0,133.76,126.82
41.0,2018.0,11349.0,134.48,128.82
42.0,2018.0,11349.0,134.48,130.83
42.0,2018.0,11410.0,135.21,130.83
42.0,2018.0,11471.0,135.93,132.89
43.0,2019.0,11471.0,135.93,132.89
43.0,2019.0,11532.0,136.65,135.02
43.0,2019.0,11532.0,136.65,137.16
44.0,2019.0,11593.0,137.37,137.16
44.0,2019.0,11654.0,138.1,139.35
44.0,2019.0,11654.0,138.1,139.35
45.0,2019.0,11715.0,138.82,141.59
45.0,2019.0,11715.0,138.82,143.91
45.0,2019.0,11776.0,139.54,143.91
46.0,2019.0,11837.0,140.27,146.25
46.0,2019.0,11837.0,140.27,146.25
46.0,2019.0,11898.0,140.99,148.64
47.0,2019.0,11959.0,141.71,151.11
47.0,2020.0,11959.0,141.71,151.11
47.0,2020.0,12020.0,142.43,153.6
47.0,2020.0,12081.0,143.16,153.6
48.0,2020.0,12142.0,143.88,156.15
48.0,2020.0,12142.0,143.88,158.76
48.0,2020.0,12203.0,144.6,158.76
49.0,2020.0,12264.0,145.33,161.46
49.0,2020.0,12264.0,145.33,164.18
49.0,2020.0,12325.0,146.05,166.97
50.0,2020.0,12386.0,146.77,167.01
50.0,2020.0,12447.0,147.49,167.01
50.0,2020.0,12447.0,147.49,167.01
51.0,2020.0,12508.0,148.22,169.9
51.0,2020.0,12569.0,148.94,169.9
51.0,2020.0,12569.0,148.94,169.9
52.0,2020.0,12630.0,149.66,172.82
52.0,2020.0,12691.0,150.39,172.82
53.0,2020.0,12752.0,151.11,175.8
53.0,2021.0,12813.0,151.83,175.8
53.0,2021.0,12910.600000000022,152.98800000000028,178.9
54.0,2021.0,12996.0,154.0,182.02
54.0,2021.0,13057.0,154.72,182.02
55.0,2021.0,13118.0,155.44,185.21999999999997
55.0,2021.0,13179.0,156.17,188.5
56.0,2021.0,13301.0,157.61,188.5
56.0,2021.0,13362.0,158.34,191.9
57.0,2021.0,13484.0,159.78,195.33
58.0,2021.0,13606.0,161.23,198.84
58.0,2021.0,13667.0,161.95,198.84
59.0,2021.0,13789.0,163.4,202.5
60.0,2021.0,13972.0,165.56,206.18
61.0,2021.0,14155.0,167.73,206.18
62.0,2021.0,14277.0,169.18,213.84
62.0,2021.0,14522.0,172.08,217.86
63.0,2021.0,14888.0,176.42,221.93
65.0,2021.0,15193.0,180.03,226.09999999999997
66.0,2021.0,15681.0,185.82,234.82
68.15999999999985,2021.0,16291.0,193.04,243.92
72.0,2021.0,17668.379999999997,209.36759999999992,258.56
106.0,2021.0,29715.0,352.12,344.8
