Age,Season,Seconds,Split,Watts
6.0,2003.0,1083.1,90.26,6.31
15.0,2008.0,1212.745,101.06450000000001,56.0095
17.0,2009.0,1240.29,103.359,67.47900000000001
18.0,2009.0,1256.0,104.67000000000002,74.47049999999999
20.0,2010.0,1269.78,105.818,81.00400000000002
23.0,2010.0,1282.275,106.85749999999999,86.2175
25.0,2011.0,1291.4,107.62,91.03800000000001
26.0,2011.0,1299.815,108.32149999999999,95.48
27.0,2012.0,1306.7,108.89,99.77600000000001
29.0,2012.0,1313.905,109.4905,103.68100000000001
29.0,2012.0,1319.65,109.975,106.14
30.0,2013.0,1328.49,110.70899999999999,108.67
31.0,2013.0,1334.2,111.18,111.00800000000001
31.0,2014.0,1340.0,111.66999999999999,113.3
32.0,2014.0,1345.63,112.13300000000001,115.81
32.0,2014.0,1352.2749999999999,112.6875,118.015
33.0,2015.0,1357.7999999999997,113.15,120.27
33.0,2015.0,1362.23,113.52300000000001,122.5325
34.0,2015.0,1366.7,113.89,124.803
34.0,2015.0,1371.0,114.25,127.15650000000001
35.0,2016.0,1375.1,114.59,128.76
35.0,2016.0,1378.8,114.9,130.35
36.0,2016.0,1384.3,115.36,132.2
36.0,2016.0,1389.4,115.78,133.99
36.0,2016.0,1393.8,116.15,135.61
37.0,2016.0,1397.9,116.49,137.4
37.0,2017.0,1402.2,116.85,139.39
38.0,2017.0,1406.3,117.19,141.15
38.0,2017.0,1409.6,117.47,142.95
38.0,2017.0,1413.6,117.8,144.68
39.0,2017.0,1417.2,118.1,146.18
39.0,2017.0,1420.9,118.41,147.8985
39.0,2017.0,1424.2,118.68,149.58
40.0,2017.0,1427.6,118.97,151.07
40.0,2018.0,1430.93,119.243,152.66
40.0,2018.0,1434.6,119.55,154.23
41.0,2018.0,1437.9,119.82999999999998,155.908
41.0,2018.0,1442.0,120.17000000000002,157.59
41.0,2018.0,1448.0,120.67,159.46
42.0,2018.0,1453.0549999999998,121.08550000000001,160.71
42.0,2018.0,1457.9,121.49,161.91
42.0,2018.0,1462.4,121.87,163.16
43.0,2018.0,1466.6,122.22,164.61
43.0,2018.0,1471.4,122.62,166.23
43.0,2019.0,1476.1,123.01,167.91
44.0,2019.0,1480.525,123.38,169.54
44.0,2019.0,1484.7,123.73,171.19
44.0,2019.0,1488.715,124.0615,172.78
45.0,2019.0,1493.1,124.42,174.51
45.0,2019.0,1497.6,124.8,176.35
45.0,2019.0,1501.15,125.095,178.79000000000002
46.0,2019.0,1508.1,125.67,180.06
46.0,2019.0,1513.3,126.11000000000001,181.72
46.0,2019.0,1518.3,126.53,183.294
47.0,2019.0,1523.1,126.92,184.77
47.0,2020.0,1528.0,127.33,186.35
47.0,2020.0,1532.9,127.74,188.03999999999996
48.0,2020.0,1538.0,128.17,189.84
48.0,2020.0,1543.1,128.59,191.71
48.0,2020.0,1547.6,128.97,193.36
49.0,2020.0,1551.6,129.3,195.19
49.0,2020.0,1555.5,129.62,197.14799999999997
49.0,2020.0,1559.5,129.96,199.19
50.0,2020.0,1565.7,130.47,201.69
50.0,2020.0,1571.28,130.93800000000002,203.41000000000003
50.0,2020.0,1576.9,131.41,204.84
50.0,2020.0,1582.3,131.86,206.425
51.0,2020.0,1587.8,132.32,207.85
51.0,2020.0,1593.1,132.76,209.38
51.0,2020.0,1599.1049999999998,133.26049999999998,210.82
52.0,2020.0,1605.35,133.78,212.48
52.0,2020.0,1610.9,134.24,214.11
52.0,2020.0,1617.3,134.78,215.92
53.0,2020.0,1624.2,135.35,217.47
53.0,2020.0,1631.1,135.92,219.37
54.0,2020.0,1638.9,136.57,221.41
54.0,2021.0,1646.1,137.17,223.36
54.0,2021.0,1652.6,137.72,225.51
55.0,2021.0,1660.1,138.34,227.98
55.0,2021.0,1667.9,138.99,230.73
56.0,2021.0,1674.7,139.56,232.61
56.0,2021.0,1681.7450000000001,140.1445,234.69
57.0,2021.0,1692.19,141.019,236.93
57.0,2021.0,1702.6699999999996,141.88699999999997,239.2319999999998
58.0,2021.0,1713.3,142.77,241.6
58.0,2021.0,1724.025,143.6725,244.5875
59.0,2021.0,1734.9699999999998,144.58,248.23899999999992
59.0,2021.0,1747.7,145.64,251.34
60.0,2021.0,1759.6599999999999,146.63599999999997,254.68
61.0,2021.0,1772.1,147.68,257.9369999999999
61.0,2021.0,1786.15,148.845,263.14
62.0,2021.0,1800.095,150.0095,266.64650000000006
63.0,2021.0,1823.2600000000004,151.94200000000006,271.08
64.0,2021.0,1850.3,154.19,275.37800000000016
65.0,2021.0,1879.86,156.656,280.79
66.0,2021.0,1914.25,159.525,286.85
68.0,2021.0,1954.4600000000003,162.87400000000002,295.3860000000001
70.0,2021.0,2010.0299999999997,167.50299999999996,305.21
72.0,2021.0,2077.2099999999996,173.101,316.96999999999986
75.0,2021.0,2210.314999999999,184.19049999999993,339.05499999999995
120.0,2021.0,4576.0,381.33,475.97
