Age,Season,Seconds,Split,Watts
7.0,2006.0,4027.0,95.44,4.51
17.0,2008.0,4576.0,108.45,49.2
20.0,2009.0,4637.0,109.9,59.260000000000005
23.0,2010.0,4698.0,111.34,66.98
25.0,2010.0,4759.0,112.79,70.47
27.0,2011.0,4759.0,112.79,76.13
28.0,2011.0,4820.0,114.23,78.16
29.0,2011.0,4881.0,115.68,82.41
29.0,2012.0,4881.0,115.68,84.65
30.0,2012.0,4881.0,115.68,89.4
31.0,2012.0,4942.0,117.13,91.91
31.0,2013.0,4942.0,117.13,94.52
32.0,2013.0,4942.0,117.13,97.21
32.0,2013.0,5003.0,118.57,100.02
33.0,2014.0,5003.0,118.57,102.92
33.0,2014.0,5003.0,118.57,102.92
34.0,2014.0,5064.0,120.02000000000001,105.96
34.0,2014.0,5064.0,120.02,105.96
34.0,2015.0,5064.0,120.02000000000001,109.09
35.0,2015.0,5125.0,121.46,109.09
35.0,2015.0,5125.0,121.46,112.37
36.0,2015.0,5125.0,121.46,112.37
36.0,2016.0,5125.0,121.46,115.79
36.0,2016.0,5186.0,122.91,115.79
37.0,2016.0,5186.0,122.91,119.31
37.0,2016.0,5186.0,122.91,123.02
37.0,2016.0,5186.0,122.91,123.02000000000001
38.0,2016.0,5247.0,124.35,123.02
38.0,2017.0,5247.0,124.35,126.84
38.0,2017.0,5247.0,124.35,126.84
39.0,2017.0,5247.0,124.35,126.84
39.0,2017.0,5308.0,125.8,130.86
39.0,2017.0,5308.0,125.80000000000001,130.86
40.0,2017.0,5308.0,125.79999999999998,130.86
40.0,2017.0,5308.0,125.79999999999998,130.86
40.0,2017.0,5308.0,125.8,135.02
40.0,2018.0,5369.0,127.25,135.02
41.0,2018.0,5369.0,127.25,135.02
41.0,2018.0,5369.0,127.25,139.39
41.0,2018.0,5369.0,127.25,139.39
42.0,2018.0,5369.0,127.25,139.39
42.0,2018.0,5369.0,127.25,143.94
42.0,2018.0,5430.0,128.69,143.94
42.0,2018.0,5430.0,128.69,143.94
43.0,2018.0,5430.0,128.69,143.94
43.0,2018.0,5491.0,130.14,148.67
43.0,2018.0,5491.0,130.14,148.67
44.0,2019.0,5491.0,130.14,148.67
44.0,2019.0,5491.0,130.14,148.67
44.0,2019.0,5552.0,131.58,153.64
45.0,2019.0,5552.0,131.58,153.64
45.0,2019.0,5552.0,131.58,153.64
45.0,2019.0,5613.0,133.03,158.79
46.0,2019.0,5613.0,133.03,158.79
46.0,2019.0,5613.0,133.03,158.79
46.0,2019.0,5613.0,133.03,158.79
46.0,2019.0,5674.0,134.47,164.22
47.0,2019.0,5674.0,134.47,164.22
47.0,2019.0,5674.0,134.47,164.22
47.0,2019.0,5674.0,134.47,169.86
48.0,2020.0,5735.0,135.92,169.86
48.0,2020.0,5735.0,135.92,169.86
48.0,2020.0,5735.0,135.92,169.86
49.0,2020.0,5796.0,137.37,169.86
49.0,2020.0,5796.0,137.37,169.86
49.0,2020.0,5796.0,137.37,175.8
50.0,2020.0,5857.0,138.81,175.8
50.0,2020.0,5857.0,138.81,175.8
50.0,2020.0,5857.0,138.81,175.8
50.0,2020.0,5857.0,138.81,175.8
51.0,2020.0,5918.0,140.26,182.02
51.0,2020.0,5918.0,140.26,182.02
51.0,2020.0,5918.0,140.26,182.02
52.0,2020.0,5979.0,141.7,182.02
52.0,2020.0,5979.0,141.7,188.5
52.0,2020.0,5979.0,141.7,188.5
53.0,2020.0,6040.0,143.15,188.5
53.0,2021.0,6101.0,144.59,188.5
54.0,2021.0,6101.0,144.59,195.33
54.0,2021.0,6162.0,146.04,195.33
54.0,2021.0,6162.0,146.04,195.33000000000004
55.0,2021.0,6223.0,147.49,195.33
55.0,2021.0,6223.0,147.49,202.45
56.0,2021.0,6284.0,148.93,202.45
56.0,2021.0,6284.0,148.93,202.45
57.0,2021.0,6345.0,150.38,209.96
57.0,2021.0,6345.0,150.38,209.96
58.0,2021.0,6406.0,151.82,209.96000000000004
58.0,2021.0,6467.0,153.27,217.8
59.0,2021.0,6528.0,154.71,217.8
60.0,2021.0,6589.0,156.16,217.8
60.0,2021.0,6650.0,157.61,226.10000000000002
61.0,2021.0,6772.0,160.5,226.09999999999997
62.0,2021.0,6833.0,161.94,226.1
63.0,2021.0,6955.0,164.83,234.82
64.0,2021.0,7016.0,166.28,243.92
65.0,2021.0,7199.0,170.62,243.92
67.0,2021.0,7322.0,173.52999999999997,253.58
70.0,2021.0,7627.0,180.76,263.68
73.0,2021.0,8115.0,192.33000000000004,274.4
120.0,2021.0,18000.0,426.6,402.6
