Age,Season,Seconds,Split,Watts
3.0,2003.0,916.4,91.64,2.79
16.0,2008.0,1034.815,103.48150000000001,53.731500000000004
22.0,2009.0,1054.7,105.47,64.721
25.0,2009.0,1067.2,106.72,72.38
26.0,2010.0,1075.82,107.58200000000001,77.97
27.0,2010.0,1084.4,108.44,83.57
28.0,2011.0,1092.8,109.28,87.756
29.0,2011.0,1099.0,109.9,91.94
30.0,2012.0,1105.9,110.59,95.33
30.0,2012.0,1111.0,111.1,99.17
31.0,2012.0,1116.7,111.67,102.98
31.0,2013.0,1121.8,112.18,105.64
32.0,2013.0,1126.1,112.61000000000001,108.20999999999998
32.0,2013.0,1130.0,113.0,110.7
33.0,2014.0,1134.0,113.4,113.13999999999999
33.0,2014.0,1137.1,113.71,115.825
34.0,2014.0,1139.7,113.97,118.16999999999999
34.0,2014.0,1145.0,114.5,120.22
34.0,2015.0,1148.9,114.89,122.41699999999999
35.0,2015.0,1152.9,115.29,124.67
35.0,2015.0,1156.5,115.65,126.82
35.0,2015.0,1159.7,115.97,129.04
36.0,2015.0,1163.6,116.36,131.11
36.0,2016.0,1166.6,116.66,133.32
36.0,2016.0,1169.2,116.91999999999999,134.84
37.0,2016.0,1172.6,117.26,136.47
37.0,2016.0,1175.6,117.56,138.19
37.0,2016.0,1178.4,117.84,140.1
38.0,2016.0,1181.3,118.13,141.94
38.0,2016.0,1184.2,118.41999999999999,143.56
38.0,2017.0,1186.8,118.68,145.3
39.0,2017.0,1189.4,118.94,147.04
39.0,2017.0,1192.3,119.23,148.77
39.0,2017.0,1194.6,119.45999999999998,150.47950000000006
40.0,2017.0,1196.8,119.68,152.371
40.0,2017.0,1198.8,119.88,153.64
40.0,2017.0,1202.6799999999998,120.26799999999999,155.01
40.0,2017.0,1207.6,120.75999999999999,156.58
41.0,2017.0,1212.2,121.22,158.17
41.0,2018.0,1216.3,121.63,159.79
41.0,2018.0,1220.1,122.01,161.16
42.0,2018.0,1224.1,122.41,162.85
42.0,2018.0,1227.5,122.75,164.18
42.0,2018.0,1231.0,123.1,165.69
42.0,2018.0,1234.6,123.45999999999998,167.32
43.0,2018.0,1238.2,123.82,168.9
43.0,2018.0,1241.8,124.18,170.58
43.0,2018.0,1245.2,124.51999999999998,172.16
44.0,2018.0,1248.4,124.84,174.14
44.0,2018.0,1251.9,125.19,175.64
44.0,2019.0,1255.2,125.52,176.98
45.0,2019.0,1258.4,125.84,178.39
45.0,2019.0,1262.0,126.20000000000002,179.89
45.0,2019.0,1266.8,126.68,181.28
45.0,2019.0,1270.7,127.07,182.77
46.0,2019.0,1274.9,127.49,184.37
46.0,2019.0,1278.9,127.89,185.99
46.0,2019.0,1283.1,128.31,187.63
47.0,2019.0,1287.0,128.7,189.24
47.0,2019.0,1290.5,129.05,190.82
47.0,2019.0,1295.0,129.5,192.7
48.0,2019.0,1298.7,129.87,194.51
48.0,2019.0,1303.1,130.31,196.49
48.0,2020.0,1307.5,130.75,198.75
48.0,2020.0,1311.9,131.19,201.20000000000022
49.0,2020.0,1315.8,131.58,203.16
49.0,2020.0,1319.4300000000003,131.943,204.18
49.0,2020.0,1324.9350000000006,132.49350000000007,205.31
50.0,2020.0,1330.0,133.0,206.5
50.0,2020.0,1335.2,133.52,208.01
50.0,2020.0,1340.5,134.05,209.38
51.0,2020.0,1345.9,134.59,210.76
51.0,2020.0,1351.0,135.1,212.32
51.0,2020.0,1356.9,135.69,213.89
52.0,2020.0,1363.1,136.31,215.41999999999996
52.0,2020.0,1368.8,136.88,217.08
52.0,2020.0,1374.3,137.43,218.98
53.0,2020.0,1379.5,137.95,220.45
53.0,2020.0,1387.2,138.72,222.16
54.0,2020.0,1394.6,139.46000000000004,224.4
54.0,2020.0,1402.7,140.27,226.27
54.0,2021.0,1410.7,141.07,228.4
55.0,2021.0,1419.31,141.93099999999998,230.79
55.0,2021.0,1427.9,142.79,233.16
56.0,2021.0,1436.1,143.61,236.43
56.0,2021.0,1445.7250000000001,144.5725,238.05
57.0,2021.0,1457.1,145.71,240.01
57.349999999998545,2021.0,1467.7,146.77,242.57
58.0,2021.0,1478.9,147.89,245.10000000000002
59.0,2021.0,1490.8,149.08,247.93
60.0,2021.0,1503.5,150.35,251.34
60.0,2021.0,1522.5,152.25,255.23000000000002
61.0,2021.0,1542.7,154.27,258.77
62.0,2021.0,1561.4,156.14,263.68
63.0,2021.0,1585.8699999999997,158.587,268.19
64.0,2021.0,1611.9,161.19,274.47
66.0,2021.0,1649.6,164.96,281.09399999999965
68.0,2021.0,1691.0,169.1,287.96
70.0,2021.0,1755.2900000000002,175.52900000000002,298.32
73.0,2021.0,1867.584999999999,186.7584999999999,315.8464999999992
120.0,2021.0,5003.0,500.3,454.79
