Age,Distance,Season,Split,Watts
0.0,79.0,2003.0,82.36,0.1
9.0,490.05,2006.0,92.4535,23.8375
11.0,588.1,2007.0,94.49,41.20000000000001
12.0,637.0,2007.0,95.62,52.36
12.0,681.0,2007.0,96.7,63.97
13.0,711.0,2007.0,97.48,72.8
13.0,734.0,2008.0,98.12,80.09
13.0,754.0,2008.0,98.76999999999998,86.83
13.0,770.0,2008.0,99.34,92.48
13.0,786.0,2008.0,99.83,98.36
13.0,800.0,2009.0,100.59,103.7
13.0,811.0,2009.0,101.18,108.03
14.0,820.0,2009.0,101.69,111.68
14.0,830.6500000000001,2009.0,102.13,116.08950000000004
14.0,840.0,2009.0,102.65,120.04000000000002
14.0,847.0,2009.0,103.27,123.07
14.0,854.0,2009.0,103.72,126.14
14.0,862.0,2010.0,104.17,129.73
14.0,869.0,2010.0,104.70999999999998,132.92
15.0,876.0,2010.0,105.08,136.14
15.0,883.0,2010.0,105.54,139.45
16.0,890.0,2010.0,105.91,142.79
17.0,895.0999999999999,2011.0,106.38,145.24899999999994
17.0,901.0,2011.0,106.86,148.13
18.0,906.0,2011.0,107.32999999999998,150.63
22.0,911.0,2011.0,107.82,153.15
25.0,916.0,2012.0,108.21000000000001,155.69
27.0,921.0,2012.0,108.6,158.25
28.0,925.0,2012.0,108.88999999999999,160.3
29.0,929.0,2013.0,109.39,162.4
30.0,934.5,2013.0,109.89,165.3
31.0,939.0,2013.0,110.29,167.68
32.0,943.0,2013.0,110.8,169.86
33.0,946.0,2013.0,111.21,171.47
33.70000000000073,951.0,2014.0,111.73,174.22
34.0,955.0,2014.0,112.15,176.43
35.0,960.0,2014.0,112.57,179.2
35.0,963.0,2014.0,112.99,180.89
36.0,967.0,2014.0,113.42,183.13
37.0,971.0,2015.0,113.85,185.45
37.0,975.0,2015.0,114.29,187.72
38.0,979.0,2015.0,114.72,190.07
38.0,984.0,2015.0,115.16,192.98
39.0,988.0,2015.0,115.61,195.33
39.0,993.0,2016.0,115.96199999999997,198.3
40.0,999.0,2016.0,116.39,201.94
40.0,1001.0,2016.0,116.85,203.16
41.0,1004.0,2016.0,117.3,205.0
41.0,1007.0,2016.0,117.65,206.81
41.0,1010.0,2017.0,118.04399999999998,208.69
42.0,1013.0,2017.0,118.46,210.55
42.0,1016.5500000000002,2017.0,118.81,212.78200000000012
43.0,1020.0,2017.0,119.17,214.93
43.0,1023.0,2017.0,119.52,216.86
44.0,1027.0,2017.0,119.88,219.37
44.0,1031.0,2018.0,120.12,221.98000000000002
44.0,1034.800000000001,2018.0,120.85,224.4520000000007
45.0,1038.0,2018.0,121.45999999999998,226.51
45.0,1042.0,2018.0,121.95,229.17
46.0,1046.0,2018.0,122.57,231.82
46.0,1050.0,2018.0,123.08,234.45
47.0,1054.0,2018.0,123.58,237.18
47.0,1058.0,2018.0,124.1,239.88
47.0,1062.0,2019.0,124.61,242.63
48.0,1066.0,2019.0,125.0,245.36
48.0,1070.0,2019.0,125.65,248.12
49.0,1074.0,2019.0,126.18,250.93
49.0,1079.0,2019.0,126.85,254.47
50.0,1083.0,2019.0,127.25,257.31
50.0,1088.0,2019.0,127.79999999999998,260.89
51.0,1092.0,2019.0,128.41,263.75
51.0,1097.0,2020.0,129.17,267.38
52.0,1102.0,2020.0,129.73,271.08
52.0,1105.0,2020.0,130.29,273.26
52.0,1109.0,2020.0,131.0,276.23
53.0,1113.0,2020.0,131.72,279.24
53.0,1118.0,2020.0,132.45,283.08
54.0,1123.0,2020.0,133.19,286.83
55.0,1128.0,2020.0,134.06499999999997,290.73
55.0,1133.0,2020.0,134.83,294.62
56.0,1137.0,2020.0,135.9,297.73
56.0,1142.0,2020.0,136.99,301.65
57.0,1146.0,2020.0,138.09,304.86
58.0,1152.0,2020.0,139.21,309.63
59.0,1157.0,2020.0,140.52,313.68
60.0,1162.0,2020.0,141.68,317.79
60.0,1169.0,2020.0,142.86,323.59
61.0,1175.0,2021.0,144.46300000000008,328.55
62.0,1180.0,2021.0,146.34,332.84
63.0,1186.0,2021.0,147.97,337.9
64.0,1193.0,2021.0,150.0,343.88
65.0,1202.0,2021.0,152.67,351.79
67.0,1208.0,2021.0,155.84,357.02
69.0,1215.0,2021.0,159.15,363.24
71.0,1223.0,2021.0,163.49,370.51
73.0,1231.0,2021.0,168.78,377.85
77.0,1241.0,2021.0,176.21000000000004,387.07
107.0,1255.0,2021.0,188.38,400.33000000000004
107.0,1270.0,2021.0,204.04599999999988,414.87
107.0,1297.9500000000007,2021.0,244.87500000000037,442.89000000000067
108.0,1457.0,2021.0,1518.99,626.5
