Age,Season,Seconds,Split,Watts
3.0,2016.0,12.4,62.0,0.2
9.0,2016.0,14.2,71.0,71.92760000000001
11.0,2016.0,14.5,72.5,106.88
13.0,2016.0,14.7,73.5,133.18
14.0,2016.0,14.9,74.5,157.48
15.0,2016.0,15.099999999999998,75.5,179.2
16.0,2016.0,15.2,76.0,200.04
18.0,2016.0,15.3,76.5,215.75
19.0,2016.0,15.5,77.5,230.13
22.0,2016.0,15.5,77.5,239.38
24.0,2016.0,15.6,78.0,252.49
25.0,2017.0,15.7,78.5,262.96
27.0,2017.0,15.8,79.0,270.26
28.0,2017.0,15.9,79.5,281.74
29.0,2017.0,15.899999999999999,79.5,289.75
29.0,2017.0,16.0,80.0,298.06
30.0,2017.0,16.1,80.5,306.7
31.0,2017.0,16.1,80.5,311.15
31.0,2017.0,16.2,81.0,320.3
32.0,2017.0,16.3,81.5,325.01
32.0,2017.0,16.3,81.5,334.71
33.0,2017.0,16.4,82.0,339.71000000000004
33.0,2017.0,16.5,82.5,344.8
34.0,2017.0,16.5,82.5,355.3
34.0,2018.0,16.6,83.0,360.71
34.0,2018.0,16.6,83.0,366.23
35.0,2018.0,16.7,83.5,371.87
35.0,2018.0,16.7,83.5,377.62
35.52000000000044,2018.0,16.8,84.0,383.49
36.0,2018.0,16.8,84.0,389.48
36.0,2018.0,16.9,84.5,395.6
37.0,2018.0,16.9,84.5,395.6
37.0,2018.0,17.0,85.0,401.84000000000003
37.0,2018.0,17.0,85.0,408.22
38.0,2018.0,17.1,85.5,414.74
38.0,2018.0,17.1,85.5,414.74
39.0,2018.0,17.2,86.0,421.39
39.0,2018.0,17.2,86.0,428.18999999999994
39.0,2018.0,17.3,86.5,428.19
40.0,2018.0,17.3,86.5,435.13
40.0,2019.0,17.4,87.0,442.22
40.0,2019.0,17.5,87.5,442.22
41.0,2019.0,17.5,87.5,449.47
41.0,2019.0,17.5,87.5,456.88
41.0,2019.0,17.6,88.0,456.88
42.0,2019.0,17.7,88.5,464.46
42.0,2019.0,17.7,88.5,464.46
42.0,2019.0,17.8,89.0,472.19999999999993
43.0,2019.0,17.8,89.0,480.11
43.0,2019.0,17.9,89.5,480.11
43.0,2019.0,17.9,89.5,488.2
44.0,2019.0,18.0,90.0,488.19999999999993
44.0,2019.0,18.0,90.0,496.48
44.0,2019.0,18.1,90.5,496.48
45.0,2019.0,18.2,91.0,504.93999999999994
45.0,2019.0,18.2,91.0,504.93999999999994
45.0,2019.0,18.3,91.5,513.59
46.0,2020.0,18.3,91.5,522.45
46.0,2020.0,18.4,92.0,522.45
47.0,2020.0,18.5,92.5,522.45
47.0,2020.0,18.5,92.5,531.51
47.0,2020.0,18.6,93.0,540.78
48.0,2020.0,18.7,93.5,540.78
48.0,2020.0,18.7,93.5,550.27
48.0,2020.0,18.8,94.0,550.27
49.0,2020.0,18.9,94.5,559.98
49.0,2020.0,18.9,94.5,559.98
50.0,2020.0,19.0,95.0,569.92
50.0,2020.0,19.1,95.5,569.92
50.0,2020.0,19.2,96.0,580.09
51.0,2020.0,19.2,96.0,580.09
51.0,2020.0,19.3,96.5,590.51
51.0,2020.0,19.4,97.0,590.51
52.0,2020.0,19.5,97.5,601.19
52.0,2020.0,19.6,98.0,601.19
53.0,2020.0,19.7,98.5,612.12
53.0,2020.0,19.8,99.0,612.12
53.0,2020.0,19.9,99.5,623.31
54.0,2020.0,20.1,100.5,623.31
54.0,2021.0,20.2,101.0,634.78
55.0,2021.0,20.3,101.5,646.54
55.0,2021.0,20.5,102.5,646.54
56.0,2021.0,20.6,103.0,658.59
57.0,2021.0,20.8,104.0,670.93
57.0,2021.0,20.9,104.5,670.93
58.0,2021.0,21.1,105.5,683.59
59.0,2021.0,21.3,106.5,696.5700000000002
59.82999999999993,2021.0,21.5,107.5,696.57
60.0,2021.0,21.8,109.0,709.88
61.0,2021.0,22.0,110.0,723.53
62.0,2021.0,22.3,111.5,737.54
63.0,2021.0,22.699999999999996,113.5,751.8999999999999
64.0,2021.0,23.0,115.0,751.8999999999999
65.0,2021.0,23.5,117.5,781.78
67.0,2021.0,24.1,120.5,797.31
69.0,2021.0,25.0,125.0,813.26
70.0,2021.0,26.1,130.5,846.45
72.0,2021.0,27.6,138.0,881.47
74.0,2021.0,29.7,148.5,918.45
78.0,2021.0,33.890999999999984,169.45499999999993,977.9
95.0,2021.0,240.0,1200.0,1468.56
