Age,Season,Seconds,Split,Watts
0.0,2002.0,337.0,84.25,0.01
14.0,2002.0,368.6,92.15,65.34
14.0,2002.0,375.4,93.85,83.48
14.0,2002.0,379.8,94.95,95.24
15.0,2002.0,383.7,95.92,104.75
15.0,2003.0,386.96500000000003,96.73950000000002,111.09
15.0,2003.0,389.5,97.38,116.97
15.0,2003.0,392.2,98.05,121.98
15.0,2004.0,394.7,98.67,127.06
15.0,2004.0,396.8,99.2,131.5215999999999
16.0,2004.0,398.8,99.7,135.58
16.0,2004.0,400.6,100.15,139.69
16.0,2004.0,402.7,100.67,143.27
16.0,2005.0,404.6,101.15,146.18
16.0,2005.0,406.3,101.58,149.27
16.0,2006.0,408.0,102.0,152.18
16.0,2006.0,409.5,102.38,155.05
16.0,2006.0,411.2,102.8,157.74
16.0,2006.0,412.8,103.2,160.49
17.0,2006.0,414.3,103.58,163.16
17.0,2007.0,415.7,103.92,165.73
17.0,2007.0,417.0,104.25,168.27
17.0,2007.0,418.19999999999993,104.54999999999998,170.66
17.0,2007.0,419.3,104.82999999999998,172.98
17.0,2008.0,420.7,105.17,175.38
17.0,2008.0,422.4,105.6,177.83
18.0,2008.0,424.1,106.03,180.27999999999997
18.0,2009.0,425.8,106.45,182.46
18.0,2009.0,427.3,106.83,184.82
18.0,2009.0,428.70000000000005,107.17000000000002,187.08
19.0,2009.0,430.2,107.55,189.37
19.0,2010.0,431.7,107.92,191.71
19.0,2010.0,433.2,108.3,194.18
19.0,2010.0,434.7,108.67,196.59
20.0,2010.0,436.0,109.0,199.19
20.0,2010.0,437.4,109.35,201.79
21.0,2011.0,438.8,109.7,203.82
21.0,2011.0,440.0,110.0,205.62
21.0,2011.0,441.7,110.42000000000002,207.54
22.0,2011.0,443.2,110.8,209.43
22.0,2012.0,444.6,111.15,211.4
23.0,2012.0,446.0,111.5,213.45
24.0,2012.0,447.3,111.83,215.48
25.0,2012.0,448.7,112.17,217.41
26.0,2012.0,450.0,112.5,219.49
27.0,2013.0,451.4,112.85,221.52999999999997
28.0,2013.0,453.0,113.25,223.65
29.0,2013.0,454.4,113.6,225.69
30.0,2013.0,455.8,113.95,227.86
30.0,2014.0,457.2,114.3,230.31
31.0,2014.0,458.6,114.65,232.24
32.0,2014.0,459.9,114.97,234.38
33.0,2014.0,461.5,115.38,236.55
33.0,2014.0,463.0,115.75,238.74
34.0,2015.0,464.4,116.1,240.96
35.0,2015.0,465.9,116.47,243.54
35.0,2015.0,467.3,116.82999999999998,245.82
36.0,2015.0,468.8,117.2,247.99
37.0,2016.0,470.2,117.55,250.26
37.0,2016.0,471.69999999999993,117.92000000000002,252.49
38.0,2016.0,473.2,118.3,254.88
39.0,2016.0,474.69999999999993,118.67,257.31
39.0,2016.0,476.1,119.03,259.97
40.0,2016.0,477.6,119.4,262.96
40.0,2017.0,479.0,119.75,265.12
41.0,2017.0,480.6,120.15,267.68
41.0,2017.0,482.7,120.67,270.26
42.0,2017.0,484.8,121.2,272.73
43.0,2017.0,486.8,121.7,275.54
43.0,2017.0,488.9,122.22,278.46
44.0,2018.0,490.9,122.72,281.34
44.0,2018.0,492.9,123.22,284.35
45.0,2018.0,494.9,123.72,287.07
45.0,2018.0,497.0,124.25,290.16
46.0,2018.0,499.0,124.75,293.62
47.0,2018.0,501.3,125.32,297.22
47.0,2018.0,503.6,125.9,300.88
48.0,2018.0,505.9,126.48,303.82
48.0,2019.0,508.2,127.05,306.26
49.0,2019.0,510.6,127.65,308.92
50.0,2019.0,513.2,128.3,311.87
50.0,2019.0,515.9,128.97,314.95
51.0,2019.0,518.7,129.68,318.44
51.0,2019.0,521.7,130.43,322.17
52.0,2019.0,524.7,131.18,326.15
53.0,2020.0,528.0,132.0,329.81
54.0,2020.0,531.4,132.85,333.92
54.0,2020.0,535.1,133.78,338.2
55.0,2020.0,538.7,134.68,343.06
56.0,2020.0,543.3,135.82,348.43
57.0,2020.0,548.7,137.18,353.17
58.0,2020.0,554.323000000001,138.5769000000003,358.54
60.0,2020.0,560.7,140.18,364.3399999999999
61.0,2021.0,568.4,142.1,371.3
63.0,2021.0,576.4,144.1,379.02
65.0,2021.0,586.4,146.6,386.5960000000021
67.0,2021.0,598.0,149.5,396.59
71.0,2021.0,617.3,154.32,408.87
78.0,2021.0,645.0,161.25,423.41
105.0,2021.0,699.9,174.97,447.28
116.0,2021.0,15315.0,3828.75,585.27
