Age,Distance,Season,Split,Watts
5.0,4892.0,2004.0,96.11,7.03
16.0,9667.05,2008.0,106.85999999999999,54.218900000000005
20.0,10317.42,2009.0,108.88419999999999,65.91260000000001
23.0,10769.26,2009.0,110.18629999999999,74.9552
25.0,11129.52,2009.0,111.1968,82.72879999999999
27.0,11362.0,2010.0,111.84,88.03
28.0,11557.0,2010.0,112.4,92.64
29.0,11725.0,2010.0,113.27,96.73
30.0,11951.04,2011.0,113.88,102.4444
31.0,12058.0,2011.0,114.45,105.21
31.0,12139.199999999999,2011.0,114.94,107.35499999999999
32.0,12219.0,2012.0,115.44,109.49
32.0,12310.0,2012.0,115.85,111.96
33.0,12395.0,2012.0,116.25,114.28
33.0,12466.0,2013.0,116.64940000000001,116.27
34.0,12535.0,2013.0,117.02,118.2
34.0,12607.0,2013.0,117.38999999999999,120.24
35.0,12666.57,2013.0,117.65570000000001,121.96710000000002
35.0,12740.0,2014.0,117.9678,124.09
35.0,12808.0,2014.0,118.2999,126.09
36.0,12876.0,2014.0,118.56,128.13
36.0,12953.0,2014.0,118.79410000000001,130.44
37.0,13014.619999999999,2014.0,119.01000000000002,132.2986
37.0,13052.0,2015.0,119.24,133.44
37.0,13085.0,2015.0,119.5,134.46
38.0,13126.25,2015.0,119.72,135.73749999999998
38.0,13168.0,2015.0,119.89,137.01
39.0,13213.67,2015.0,120.23669999999998,138.4601
39.0,13256.0,2016.0,120.77,139.79
39.0,13303.0,2016.0,121.30089999999998,141.28
40.0,13339.0,2016.0,121.69300000000001,142.44
40.0,13377.0,2016.0,122.03,143.65
40.0,13416.0,2016.0,122.39,144.91
41.0,13452.0,2016.0,122.8,146.08
41.0,13494.0,2017.0,123.09,147.47
41.0,13524.0,2017.0,123.41,148.43
41.0,13553.56,2017.0,123.6656,149.4268
42.0,13595.0,2017.0,123.92,150.8
42.0,13633.0,2017.0,124.12,152.07
42.0,13673.0,2017.0,124.5,153.39
43.0,13716.0,2017.0,124.8,154.87
43.0,13760.0,2017.0,125.13,156.37
43.0,13806.82,2018.0,125.4982,157.9528
44.0,13845.03,2018.0,125.77,159.2712
44.0,13888.24,2018.0,126.06,160.75959999999998
44.0,13938.0,2018.0,126.34450000000001,162.51
44.0,14001.0,2018.0,126.60999999999999,164.72
45.0,14022.0,2018.0,126.87,165.45
45.0,14050.0,2018.0,127.14,166.46
45.0,14078.0,2018.0,127.41,167.44
46.0,14106.0,2018.0,127.61,168.43
46.0,14128.0,2018.0,127.86,169.22
46.0,14158.0,2018.0,128.11,170.3
47.0,14188.0,2019.0,128.37,171.39
47.0,14217.0,2019.0,128.56,172.45
47.0,14246.550000000001,2019.0,129.14,173.54200000000006
47.0,14279.0,2019.0,129.60760000000002,174.72
48.0,14312.0,2019.0,130.0097,175.93
48.0,14343.179999999998,2019.0,130.37179999999998,177.07719999999995
48.0,14385.0,2019.0,130.81,178.64
49.0,14423.0,2019.0,131.23,180.06
49.0,14458.0,2019.0,131.65,181.37
49.0,14502.0,2019.0,132.03,183.04
49.0,14526.0,2019.0,132.4,183.93
50.0,14555.44,2019.0,132.80440000000002,185.062
50.0,14586.0,2020.0,133.1,186.22
50.0,14624.0,2020.0,133.39,187.67
51.0,14658.0,2020.0,133.81,189.0
51.0,14707.0,2020.0,134.17,190.91
51.0,14751.0,2020.0,134.56,192.61
52.0,14791.699999999999,2020.0,134.94,194.20799999999997
52.0,14838.91,2020.0,135.31,196.0964
52.0,14904.0,2020.0,135.79,198.7
52.0,14970.33,2020.0,136.2233,201.35649999999998
53.0,15014.0,2020.0,136.7,203.1
53.0,15035.0,2020.0,137.1275,203.97
54.0,15063.0,2020.0,137.56,205.1
54.0,15095.0,2020.0,137.91,206.44
54.0,15125.0,2020.0,138.30380000000002,207.64
55.0,15152.59,2020.0,138.96,208.7795
55.0,15182.0,2020.0,139.79,210.02
56.0,15216.01,2021.0,140.54,211.40060000000003
56.0,15258.22,2021.0,141.29,213.19319999999996
57.0,15298.429999999998,2021.0,142.10429999999997,214.8957999999999
57.0,15333.0,2021.0,142.78,216.36
58.0,15382.0,2021.0,143.6,218.42
58.0,15431.06,2021.0,144.39,220.50359999999998
59.0,15484.0,2021.0,145.22,222.79
60.0,15537.48,2021.0,146.22,225.1
60.0,15593.0,2021.0,147.31,227.51
61.0,15661.0,2021.0,148.278,230.49
62.0,15727.0,2021.0,149.28,233.46
62.0,15806.0,2021.0,150.61280000000005,236.99
63.0,15891.0,2021.0,153.52,240.84
64.0,16014.0,2021.0,155.75,246.47
66.0,16094.949999999999,2021.0,158.42,250.19
67.0,16187.48,2021.0,161.73639999999997,254.56239999999997
69.0,16335.739999999998,2021.0,167.14109999999997,261.62589999999994
71.0,16531.579999999998,2021.0,174.46159999999998,271.1263999999999
74.0,16844.0,2021.0,186.1990000000001,286.83
117.0,18728.0,2021.0,367.95,394.24
